title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Doug Stanhope: Before Turning the Gun on Himself,2012,Missing,Missing,Missing,Missing,Missing,Missing
Doug Stanhope: Oslo - Burning the Bridge to Nowhere,2011,insufficient sample,1.0,Missing,Missing,Missing,Missing
Doug Stanhope: Beer Hall Putsch,2013,Missing,Missing,Missing,Missing,Missing,Missing
Chelsea Peretti: One of the Greats,2014,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing
Listening to You: The Who Live at the Isle of Wight,1998,Missing,Missing,insufficient sample,4.0,Missing,Missing
The Comedians of Comedy: Live at The Troubadour,2007,insufficient sample,5.0,0.25,12.0,Missing,Missing
Ð§/Ð‘,2015,Missing,Missing,insufficient sample,3.0,Missing,Missing
Tinker Bell and the Great Fairy Rescue,2010,Missing,Missing,Missing,Missing,Missing,Missing
One Eyed Girl,2014,Missing,Missing,Missing,Missing,Missing,Missing
Island of Lemurs: Madagascar,2014,insufficient sample,6.0,insufficient sample,1.0,Missing,Missing
